validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,Previous Extn for Late Renewals,index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=7,Values do not match,'($3.71K)','-3711.1200000000003'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=7,Values do not match,'($3.71K)','-3711.1200000000003'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=8,Values do not match,"'6,187'",'6187.460000000001'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=8,Values do not match,"'6,187'",'6187.460000000001'
data_validation,FAIL,"EoP, Unadjusted  ",index=8,Values do not match,'$6.19K','6187.460000000001'
data_validation,FAIL,Extn for Late Renewals,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Peak ARR,index=8,Values do not match,'$31.3K','31301.179966666667'
data_validation,FAIL,Previous ARR,index=8,Values do not match,'$6.19K','6187.460000000001'
data_validation,FAIL,Previous Extn for Late Renewals,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=9,Values do not match,"'6,187'",'6187.460000000001'
data_validation,FAIL,"EoP, Unadjusted  ",index=9,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Extn for Late Renewals,index=9,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Peak ARR,index=9,Values do not match,'$31.3K','31301.179966666667'
data_validation,FAIL,Previous ARR,index=9,Values do not match,'$6.19K','6187.460000000001'
data_validation,INFO,,,... and 5755735 more mismatches (showing first 100),,
